,Name,Year,Global_Sales
245,Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,2008.0,0.06
246,Akai Ito DS,2008.0,0.02
247,Akai Katana Shin,2011.0,0.06
248,Akane Iro ni Somaru Saka Parallel,2008.0,0.03
249,Akatsuki no Amaneka to Aoi Kyojin,2010.0,0.01
250,Akatsuki no Goei Trinity,2012.0,0.02
251,Akiba's Trip,2011.0,0.14
252,Akiba's Trip Plus,2012.0,0.08
253,Akiba's Trip: Undead & Undressed,2013.0,0.32
254,Akiba's Trip: Undead & Undressed,2014.0,0.11
255,Akko ni Omakase! Brain Shock,2006.0,0.04
256,Akuji the Heartless,1998.0,0.12
257,Aladdin Magic Racer,2011.0,0.01
258,Alan Wake,2010.0,1.35
259,Alan Wake,2012.0,0.07
260,Alexi Lalas International Soccer,1998.0,0.07
261,Alfa Romeo Racing Italiano,2005.0,0.01
262,Alia's Carnival! Sacrament,2015.0,0.03
263,Alias,2004.0,0.16
264,Alice in Wonderland,2010.0,1.03
265,Alice: Madness Returns,2011.0,1.2200000000000002
266,Alien,1981.0,0.79
267,Alien Breed Trilogy,2011.0,0.03
268,Alien Hominid,2004.0,0.19
269,Alien Monster Bowling League,2009.0,0.09
270,Alien Resurrection,2000.0,0.16
271,Alien Syndrome,2007.0,0.14
272,Alien Trilogy,1996.0,0.47
273,Alien's Return,1982.0,0.34
274,Alien: Isolation,2014.0,2.4499999999999997
275,Alienators: Evolution Continues,2001.0,0.03
276,Aliens in the Attic,2009.0,0.13
277,Aliens versus Predator: Extinction,2003.0,0.27
278,Aliens vs Predator,2010.0,2.3000000000000003
279,Aliens vs Predator: Requiem,2007.0,0.22
280,Aliens: Colonial Marines,2013.0,1.6199999999999999
281,Aliens: Infestation,2011.0,0.18
282,All Grown Up! Express Yourself,2004.0,0.18
283,All Grown Up!: Game Boy Advance Video Volume 1,2004.0,0.24
284,All Japan Pro Wrestling featuring Virtua,1997.0,0.15
285,All Kamen Rider: Rider Generation,2011.0,0.12
286,All Kamen Rider: Rider Generation 2,2012.0,0.16
287,All Points Bulletin,2010.0,0.04
288,All Star Cheer Squad,2008.0,1.08
289,All Star Cheer Squad 2,2009.0,0.13
290,All Star Karate,2010.0,0.23
291,All Star Pro-Wrestling,2000.0,0.2
292,All Star Tennis 99,1999.0,0.05
293,All-Pro Football 2K8,2007.0,0.41000000000000003
294,All-Star Baseball 2000,1999.0,0.39
295,All-Star Baseball 2001,2000.0,0.23
296,All-Star Baseball 2002,2001.0,0.78
297,All-Star Baseball 2003,2002.0,1.3299999999999998
298,All-Star Baseball 2004,2003.0,0.7
299,All-Star Baseball 99,1998.0,0.48
300,Alleyway,1989.0,1.94
301,Allied General,1996.0,0.19
302,Alone in the Dark,2008.0,0.74
303,Alone in the Dark: Inferno,2008.0,0.14
304,Alone in the Dark: One-Eyed Jack's Revenge,1996.0,0.31
305,Alpha Protocol,2010.0,0.8700000000000001
306,Alpha and Omega,2010.0,0.07
307,Alter Echo,2003.0,0.18
308,Alter Ego,1985.0,0.03
309,Altered Beast: Guardian of the Realms,2002.0,0.09
310,Alundra,1997.0,0.23
311,Alundra 2: A New Legend Begins,1999.0,0.27
312,Alvin and the Chipmunks,2007.0,0.27
313,Alvin and the Chipmunks: Chipwrecked,2011.0,0.31000000000000005
314,Alvin and the Chipmunks: The Squeakquel,2009.0,0.4
315,Amagami,2009.0,0.13
316,Amagami,2011.0,0.15
317,Amagami,2014.0,0.04
318,Amagoushi no Yakata,2007.0,0.02
319,Amatsumi Sora ni! Kumo no Hatate ni,2015.0,0.02
320,Amazing Adventures: The Forgotten Ruins,2008.0,0.24
321,Amazing Island,2004.0,0.06
322,America Oudan Ultra-Quiz,1995.0,0.02
323,America's Army: Rise of a Soldier,2005.0,0.25
